State Name,State Code,IP Address Start 1,IP Address End 1,IP Address Start 2,IP Address End 2
Alabama,AL,68.35.192.0,68.35.193.255,50.126.30.0,50.126.30.255
Alaska,AK,146.63.1.0,146.63.99.255,66.223.130.1,66.223.225.255
Arizona,AZ,68.98.215.0,68.98.215.255,66.16.165.0,66.16.166.255
Arkansas,AR,45.23.144.0,45.23.145.255,150.208.0.0,150.208.0.17
California,CA,47.138.27.0,47.138.27.255,66.214.73.0,66.214.73.255
Colorado,CO,24.8.6.0,24.8.6.255,67.41.78.0,67.41.79.255
Connecticut,CT,66.30.232.0,66.30.232.255,64.252.124.0,64.252.124.255
Delaware,DE,173.29.81.0,173.29.83.255,167.21.0.0,167.21.0.22
Florida,FL,47.198.94.0,47.198.94.255,47.192.141.0,47.192.141.255
Georgia,GA,68.57.24.0,68.57.24.255,12.166.103.0,12.166.103.255
Hawaii,HI,66.91.11.0,66.91.11.255,132.160.192.0,132.160.192.18
Idaho,ID,74.118.20.0,74.118.23.255,164.165.0.0,164.165.0.17
Illinois,IL,67.184.28.0,67.184.28.255,12.205.17.0,12.205.23.255
Indiana,IN,50.240.145.0,50.240.145.255,68.50.101.0,68.50.102.255
Iowa,IA,64.196.58.0,64.196.58.255,40.69.176.0,40.69.176.255
Kansas,KS,69.194.208.0,69.194.216.255,198.182.140.0,198.182.140.24
Kentucky,KY,23.121.182.0,23.121.182.255,128.163.0.0,128.163.0.16
Louisiana,LA,199.80.96.0,199.80.122.255,130.39.0.0,130.39.0.16
Maine,ME,65.18.47.6,65.18.90.255,198.148.217.0,198.148.217.24
Maryland,MD,73.135.40.0,73.135.240.255,170.93.226.0,170.93.226.24
Massachusetts,MA,50.78.7.0,50.78.8.255,170.154.0.0,170.154.0.16
Michigan,MI,24.247.208.0,24.247.208.255,68.36.206.0,68.36.206.255
Minnesota,MN,24.179.188.0,24.179.188.255,156.98.0.0,156.98.255.255
Mississippi,MS,24.116.160.0,24.116.160.255,130.74.0.0,130.74.255.255
Missouri,MO,67.6.41.0,67.6.41.255,12.187.239.0,12.187.239.255
Montana,MT,64.89.208.0,64.89.223.255,174.34.236.0,174.34.239.255
Nebraska,NE,71.85.160.0,71.85.191.255,160.102.0.0,160.102.255.255
Nevada,NV,8.26.36.0,8.26.40.255,167.154.0.0,167.154.255.255
New Hampshire,NH,67.253.55.0,67.253.55.255,132.177.0.0,132.177.255.255
New Jersey,NJ,68.83.96.0,68.83.96.255,24.189.98.0,24.189.99.255
New Mexico,NM,67.164.150.0,67.164.150.255,164.64.0.0,164.64.255.255
New York,NY,12.126.68.0,12.126.68.255,64.128.225.0,64.128.225.255
North Carolina ,NC,67.34.24.0,67.34.24.255,204.116.152.0,204.116.163.255
North Dakota,ND,165.234.168.0,165.234.250.255,134.129.0.0,134.129.255.255
Ohio,OH,66.161.198.0,66.161.198.255,132.235.0.0,132.235.190.255
Oklahoma,OK,66.253.149.0,66.253.149.255,129.15.0.0,129.15.255.255
Oregon,OR,65.103.71.0,65.103.71.255,64.130.196.0,64.130.196.255
Pennsylvania,PA,12.172.16.0,12.172.17.255,104.38.0.0,104.38.220.255
Rhode Island,RI,66.206.144.0,66.206.150.255,68.9.187.0,68.9.187.255
South Carolina,SC,129.252.33.0,129.252.55.255,167.7.0.0,167.7.255.255
South Dakota,SD,63.230.144.0,63.230.144.255,192.236.32.0,192.236.50.255
Tennessee,TN,68.52.237.0,68.52.237.255,66.168.101.0,66.168.103.255
Texas,TX,47.37.122.0,47.37.122.255,63.98.218.0,63.98.218.255
Utah,UT,63.248.38.0,63.248.38.255,65.121.179.0,65.121.179.255
Vermont,VT,174.83.64.0,174.83.109.255,208.103.173.0,208.103.173.255
Virginia,VA,52.179.242.0,52.179.242.255,128.143.0.0,128.143.255.255
Washington,WA,50.78.40.0 ,50.78.40.255,63.227.208.0,63.227.208.255
West Virginia,WV,76.120.128.0,76.120.140.255,50.127.188.0,50.127.189.255
Wisconsin,WI,50.50.107.0,50.50.107.255,65.31.103.0,65.31.103.255
Wyoming,WY,63.233.80.0,63.233.80.255,198.59.192.0,198.59.192.255
